code,name,batch,stock,deal,free,mrp,rate,expiry date,company,supplier
UQMG2,METROGYL 200MG TAB,AM20010,1,0,0,11.42,8.79,01-01-2024,J.B. CHE&PHARMA LIMITED  (DIVA),J.B.CHEMICALS AND PHARMA      SECUNDERABAD
MIDPT,DOLOPAR TAB***,DOCS0134,2,5,1,45,32.15,01-01-2024,MICRO LABS,LAKSHMI VENKATESWARA PHARMA   HYDERABAD
MDAV5,AMLOVAS 5MG TAB,KAB2002A,-5,0,0,42.84,30.6,01-01-2024,MACLEODS (PROCARE) AHT,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MLOC1,OMNACORTIL 10MG TAB,GOC2030A,50,0,0,10.64,7.98,01-01-2024,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MLOC1,OMNACORTIL 10MG TAB,GOC2031A,-50,0,0,10.64,7.98,01-01-2024,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MLOC2,OMNACORTIL 20MG TAB,GOD2008A,5,0,0,21.39,16.04,31-12-2023,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MLOC5,OMNACORTIL 5MG TAB,GOB2015A,790,0,0,6.16,4.62,31-12-2023,MACLEODS  (MACPHAR),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
GRCV6,CANDID-V6 TABS,50200004,18,0,0,57.12,40.8,31-12-2023,GLENMARK PHARMA,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
WASE1,SENSOFORM,SAG12AB4,113,10,1,107,76.43,01-12-2023,INDOCO (WARREN PHARMA),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
MDAV5,AMLOVAS 5MG TAB,KAB2001B,18,0,0,42.84,30.6,01-12-2023,MACLEODS (PROCARE) AHT,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
CBTT2,TEGRITAL 200MG TAB,210CPAO0,192,0,0,15.2,11.7,01-12-2023,NOVARTIS (PRASAAR),NOVARTIS INDIA LIMITED        HYDERABAD
MIDL6,DOLO-650MG TAB***,DOBS1856,744,9,1,30.24,21.62,01-12-2023,MICRO LABS,SARADA PHARMACY      MADHIRA
GMDRA,DERIPHYLIN AMP,AIW1017,3000,0,0,6.8,4.86,01-12-2023,GERMAN REMADIES LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD
MDAV2,AMLOVAS 2.5MG TAB,KAA909B,6,0,0,27.21,19.43,30-11-2023,MACLEODS (PROCARE) AHT,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
AFDE1,EPILAN TABS,12918P,3,0,0,2983.88,2131.34,01-11-2023,ANGLO FRENCH DRUGD,ANGLO FRENCH DRUGS & INDST LTDHYDERABAD
WASF1,SENSODENT KF,SAD16LA4,20,9,1,106.7,76.21,01-11-2023,INDOCO (WARREN PHARMA),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
GRCNP,CANDID POWDER,72190424,120,14,1,80,57.14,31-10-2023,GLENMARK PHARMA,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
ALAC5,ALCIPRO 500MG TAB,19442903,60,10,1,39.93,29.95,01-10-2023,ALKEM (PHARMA),ALKEM LABORATORIES LIMITED    MALKAJGIRI (DIS
INCPT,CYCLOPAM TAB,CEB5K97,92,9,1,46.35,33.11,01-10-2023,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
MIDL6,DOLO-650MG TAB***,DOBS1775,720,9,1,30.24,21.62,01-10-2023,MICRO LABS,LAKSHMI BALAJI CORPORATION VIJAYAWADA
MIDL6,DOLO-650MG TAB***,DOBS1782,1107,9,1,30.24,21.62,01-10-2023,MICRO LABS,LAKSHMI BALAJI CORPORATION VIJAYAWADA
GRCDP,CANDID POWDER,34191683,38,14,1,125,89.29,01-10-2023,GLENMARK PHARMA,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
GMPD5,PROLUTON DEPOT 500 AMP,G905317,24,9,1,278.6,199,01-10-2023,GERMAN REMADIES (GYNNEXT),SARADA PHARMACY      MADHIRA
UQMG2,METROGYL 200MG TAB,AM29064,30,0,0,7.53,5.8,01-09-2023,J.B. CHE&PHARMA LIMITED  (DIVA),J.B.CHEMICALS AND PHARMA      SECUNDERABAD
GRCV3,CANDID-V3 TABS,50190061,14,0,0,65,46.43,01-09-2023,GLENMARK PHARMA,SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
GRDCB,DECA DURABOLIN  50MG AMP,G904712,6,0,0,338.4,241.71,01-09-2023,ZYDUS FORTIZA,ZYDUS HEALTHCARE LIMITED      HYDERABAD
GMDRA,DERIPHYLIN AMP,BGV1196,710,0,0,6.8,4.86,01-09-2023,GERMAN REMADIES LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD
MDO4T,OFLOMAC 400MG TAB,KOC903A,10,0,0,127,90.71,31-08-2023,MACLEODS (PHARMA) DIVISION,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
MLOT5,OMNITAN 50MG TAB,KOR902A,8,0,0,88,62.86,31-07-2023,MACLEODS (PROCARE) AHT,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
ECAM5,ASOMEX 5MG TAB,E16AQ20002,40,0,0,142.15,101.54,01-07-2023,EMCURE PHARMACEUTICALS LTD,EMCURE PHARMACEUTICALS LTD  HYDERABAD
GRDDL,DECA DURABOLIN  25MG AMP,G905036,2,0,0,218.6,156.14,01-07-2023,ZYDUS FORTIZA,ZYDUS HEALTHCARE LIMITED      HYDERABAD
MDO4T,OFLOMAC 400MG TAB,KOC902B,2,0,0,127,90.71,30-06-2023,MACLEODS (PHARMA) DIVISION,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
ECAM2,ASOMEX 2.5MG TAB,E16AP20003,40,0,0,91.2,65.14,01-06-2023,EMCURE PHARMACEUTICALS LTD,EMCURE PHARMACEUTICALS LTD  HYDERABAD
HMCTT,CYSTONE TAB,192000403,1,0,0,125,85.93,01-06-2023,THE HIMALAYA DRUG CO ( ZENITH),THE HIMALAYA DRUG COMPANY     HYDERABAD
WASF5,SENSODENT KF,SAD12G94,12,9,1,72,51.43,01-06-2023,INDOCO (WARREN PHARMA),
MDO3T,OFLOMAC 300MG TAB,KOP901A,43,0,0,110,78.57,31-05-2023,MACLEODS (PHARMA) DIVISION,MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0038,60,0,0,191.84,137.03,01-05-2023,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
KNCPS,CREMAFFIN PINK SYR(M.F),CFB038,-60,0,0,191.84,137.03,01-05-2023,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0041,3,0,0,191.84,137.03,01-05-2023,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
ECAM2,ASOMEX 2.5MG TAB,E16AP19027,16,0,0,91.2,65.14,01-05-2023,EMCURE PHARMACEUTICALS LTD,EMCURE PHARMACEUTICALS LTD  HYDERABAD
USGM5,GLYCOMET 500MG TABS **,28020752,-5,0,0,16.8,12,01-05-2023,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0040,-3,0,0,191.84,137.03,01-05-2023,ABBOTT (GASTROCARE),VIJAYA DURGA AGENCIES   VIJAYAWADA
GMPD2,PROLUTON DEPOT 250 AMP,G902869,29,9,1,173.2,123.71,01-05-2023,GERMAN REMADIES (GYNNEXT),ZYDUS HEALTHCARE LIMITED      HYDERABAD
TOBC5,BETACARD-50MG TAB,2172F003,25,0,0,27.35,19.54,30-04-2023,TORRENT PHARMACEUTICALS LTD,TORRENT PHARMACEUTICALS LTD   HYDERABAD
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0027,1,0,0,191.84,137.03,01-04-2023,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
DPKTA,KETOROL AMP,V0115,20,9,1,27.5,19.64,01-04-2023,DR.REDDY`S LAB`S(RECURA ACE),DR REDDY`S LABORATORIES LTD   HYDERABAD
ISFBP,FEBREX PLUS TAB,FEK2EBC4,-1,9,1,50.9,36.36,01-04-2023,INDOCO (SPADE),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
ISFBP,FEBREX PLUS TAB,FEK2EBC4,3,9,1,50.9,36.36,01-04-2023,INDOCO (SPADE),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
MIDPT,DOLOPAR TAB***,DOCS0117,-2,4,1,45,32.15,01-04-2023,MICRO LABS,LAKSHMI VENKATESWARA MEDICAL HALL GUNTUR
USGM2,GLYCOMET 250MG TABS **,28020627,-2,0,0,13,9.29,01-04-2023,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA
USGM2,GLYCOMET 250MG TABS **,28020626,2,0,0,13,9.29,01-04-2023,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA
USGM5,GLYCOMET 500MG TABS **,28020705,5,0,0,16.8,12,01-04-2023,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA
USGGP,GLYCOMET-GP 1MG **,28020626,-40,0,0,96.63,69.02,01-04-2023,USV PHARMA,PRUDHVI PHARMACEUTICALS VIJAYAWADA
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0031,-1,0,0,191.84,137.03,01-04-2023,ABBOTT (GASTROCARE),SARADA PHARMACY      MADHIRA
RAZFO,ZOLE-F OINTMENT,G34020,3,0,0,81,57.86,01-04-2023,RANBAXY(MAXXIM),SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
DPKTA,KETOROL AMP,V0082,-20,9,1,27.5,19.64,01-03-2023,DR.REDDY`S LAB`S(RECURA ACE),DR REDDY`S LABORATORIES LTD   HYDERABAD
INCTS,CITAL SYR,CNB6DBC7,-5,7,1,82,58.57,01-03-2023,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
ISFBP,FEBREX PLUS TAB,FEK2DBC4,-5,9,1,50.9,36.36,01-03-2023,INDOCO (SPADE),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
ISFBP,FEBREX PLUS TAB,FEK10DBC4,3,9,1,50.9,36.36,01-03-2023,INDOCO (SPADE),INDOCO REMEDIES LTD(INDOC)    HYDERABAD
IVCS1,CAL SHAKTI,T2000531,7,5,1,160,128,01-03-2023,INTAS PHARMA (BOVICURRA),INTAS PHARMCEUTICALS LTD      HYDERABAD
UQNR1,NICARDIA-RTD 10MG T,ACG0006,96,0,0,35.16,25.12,01-03-2023,J.B. CHE&PHARMA LIMITED  (VIVA),J.B.CHEMICALS AND PHARMA      SECUNDERABAD
UQNR1,NICARDIA-RTD 10MG T,ACG20006,-96,0,0,35.16,25.12,01-03-2023,J.B. CHE&PHARMA LIMITED  (VIVA),J.B.CHEMICALS AND PHARMA      SECUNDERABAD
SNOT2,OXETOL 300MG TABS **,EMX1037,1,0,0,94,67.14,01-03-2023,SUN PHARMACEUTICAL I LTD,PRUDHVI AGENCIES VIJAYAWADA
AJMTX,MET XL 25 TABS**,GT0380D,-4,0,0,90.05,64.32,01-03-2023,GENARAL COMPANY,PRUDHVI PHARMACEUTICALS VIJAYAWADA
AJMTX,MET XL 25 TABS**,GT0390D,4,0,0,90.05,64.32,01-03-2023,GENARAL COMPANY,PRUDHVI PHARMACEUTICALS VIJAYAWADA
RAZFO,ZOLE-F OINTMENT,G30520,-3,0,0,81,57.86,01-03-2023,RANBAXY(MAXXIM),SUN PHARMA DISTRIBUTORS LTD   SHAMEERPET
SDNNA,NAPROSYN 500MG TABS**,02N20037,20,0,0,57.05,40.75,01-03-2023,SANDOZ INDIA LTD,TRINETRA PHARMA    HYDERABAD
SDNNA,NAPROSYN 500MG TABS**,02N20042,-20,0,0,57.05,40.75,01-03-2023,SANDOZ INDIA LTD,TRINETRA PHARMA    HYDERABAD
H&HDER,DERMADEW SOAP,B213,3,0,0,149,101.02,01-03-2023,H&H PHARMA (HEALTHCARE),VEGAVAAN PHARMA      SECUNDERABAD
VERFT,FEPANIL 650 TAB,FCTS20D05,20,10,2,30.7,21.93,01-03-2023,VERITAZ HEALTHCARE LIMITED,VERITAZ HEALTHCARE LIMITED    HYDERABAD
CCAT4,ASTHALIN 4MG TAB,K400054,300,0,0,6.01,4.29,28-02-2023,CIPLA (SPEETRACARE-2),CIPLA LIMITED  HYDERABAD
BTISG,INSUGEN-30/70 INJ,19ITF40002,100,0,0,154,123.2,01-02-2023,BIOCON,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD
BTISG,INSUGEN-30/70 INJ,V19ITF4000,-100,0,0,154,123.2,01-02-2023,BIOCON,BIOCON BIOLOGIS INDIA LTD  SECUNDERABAD
INCTS,CITAL SYR,CNB6CBA1,5,7,1,82,58.57,01-02-2023,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
IVCS1,CAL SHAKTI,T2000530,-7,5,1,160,128,01-02-2023,INTAS PHARMA (BOVICURRA),INTAS PHARMCEUTICALS LTD      HYDERABAD
MASRD,SERAX-D TAB,KW20001,240,10,1,89,63.57,01-02-2023,MARS TERAPEUTICS & CHEMICALS LTD,MARS PHARMA PRIVATE LIMITED HYDERABAD
IPCALAR,LARIAGO AMP **,DS120001D,-8,0,0,19,14.5,01-02-2023,IPCA,PRUDHVI AGENCIES VIJAYAWADA
IPCALAR,LARIAGO AMP **,DS120004D,9,0,0,19,14.5,01-02-2023,IPCA,PRUDHVI AGENCIES VIJAYAWADA
IPCALAR,LARIAGO AMP **,DS12003D,-9,0,0,19,14.5,01-02-2023,IPCA,PRUDHVI AGENCIES VIJAYAWADA
SPCXT,COFEX TAB,21TCF036,-13,10,3,30,21.42,01-02-2023,SAPCO LABORATORIES P LTD,SAPCO LABORATORIES(P) LIMITED NELLORE
VERFP,FEPANIL TABS,FTV20C07,128,10,2,14.71,10.51,01-02-2023,VERITAZ HEALTHCARE LIMITED,VERITAZ HEALTHCARE LIMITED    HYDERABAD
CYDXT,DEXONA TAB,BEW1088,-90,0,0,6.38,4.56,01-02-2023,ZYDUS GEO,ZYDUS HEALTHCARE LIMITED      HYDERABAD
CCAT4,ASTHALIN 4MG TAB,K400041,60,0,0,6.01,4.29,31-01-2023,CIPLA (SPEETRACARE-2),CIPLA LIMITED  HYDERABAD
DPKDT,KETOROL-DT TAB,E000289,27,0,0,110.55,78.97,31-01-2023,DR.REDDY`S LAB`S(RECURA ACE),DR REDDY`S LABORATORIES LTD   HYDERABAD
DRNS2,NISE TAB,E000233,4,0,0,81.4,58.14,31-01-2023,DR.REDDY`S LAB`S(AQURA+SG),DR REDDY`S LABORATORIES LTD   HYDERABAD
DRNS2,NISE TAB,E000323,-4,0,0,81.4,58.14,31-01-2023,DR.REDDY`S LAB`S(AQURA+SG),DR REDDY`S LABORATORIES LTD   HYDERABAD
MLOGM,ORCERIN-GM TABS,KOO2003A,30,0,0,217,155,31-01-2023,MACLEODS (GENCARE),MACLEODS PHARMACEUTICALS LTD  HYDERABAD   TEL
KNCPS,CREMAFFIN PINK SYR(M.F),CFB0013,240,0,0,191.84,137.03,01-01-2023,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
KNCFP,CREMAFFIN PLUS SYR,140559D7,60,0,0,203.41,145.29,01-01-2023,ABBOTT (GASTROCARE),ABBOTT INDIA LIMITED HYDERABAD
KNDOT,DIGENE ORANGE TAB,140110D7,90,9,1,18.15,12.96,01-01-2023,ABBOTT (CONSUMER CARE),ABBOTT INDIA LIMITED HYDERABAD
KLPT2,PROTHIADEN 25MG TAB,ADF0057,30,0,0,121.55,86.82,01-01-2023,ABBOTT (NEUROLIFE),ABBOTT INDIA LIMITED HYDERABAD
AVT24,VERTIN 24MG TAB,RBIC0001,10,0,0,351.04,250.74,01-01-2023,ABBOTT (NEUROLIFE),ABBOTT INDIA LIMITED HYDERABAD
AVT24,VERTIN 24MG TAB,RBIC0001A,-10,0,0,351.04,250.74,01-01-2023,ABBOTT (NEUROLIFE),ABBOTT INDIA LIMITED HYDERABAD
ACACD,ATECARD-D TAB,2008000188,32,0,0,71.5,51.07,01-01-2023,ALEMBIC  (DABUR) INDIA LIMITED,ALEMBIC PHARMACEUTICALS LTD   HYDERABAD
GUSPS,SEPTRAN (P) SYR,SDS11B20,-358,0,0,17.92,13.59,01-01-2023,KOYE PHARMA,AUROBINDO DRUGS  VIJAYAWADA
PTAZ5,AZEE 500MG TAB,SN00452,6,11,1,116.7,83.36,01-01-2023,CIPLA (INSPIRA),CIPLA LIMITED  HYDERABAD
DRAT2,ATARAX SYRUP,LI0320015,-3,0,0,83,59.29,01-01-2023,DR REDDYYS (GRANDERA),DR REDDY`S LABORATORIES LTD   HYDERABAD
ERGSM2,GLIMISAVE M2 TAB,GGLV20004,20,0,0,151.52,108.23,01-01-2023,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
ERGSM2,GLIMISAVE M2 TAB,GGLV20005,10,0,0,151.52,108.23,01-01-2023,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
ERGLS,GLIMISAVE M3 TAB,GGIM20002,10,0,0,148.82,106.3,01-01-2023,ERIS LIFESCIENCES PVT LTD,ERIS LIFE SCIENCES LTD     HYDERABAD
ERIME,METAFORT G 853 TABS,GMOG20001,10,0,0,120.78,86.27,01-01-2023,ERIS  (ADURA),ERIS LIFE SCIENCES LTD     HYDERABAD
GECP6,CALPOL 650MG TABS,EB439,900,7,1,30.24,21.6,01-01-2023,GLAXOSMITHKLINE(FORTIOR),GLAXOSMITHKLINE PHARMA LIM   HYDERABADA
INTZT,TRIZ TAB,TBA1BB3,100,9,1,18.14,12.96,01-01-2023,INDOCO,INDOCO REMEDIES LTD(INDOC)    HYDERABAD
FTSCF,SUCRAFIL SYRUP ***,G3053,60,9,1,149,106.43,01-01-2023,FOURRTS,LAKSHMI BALAJI CORPORATION VIJAYAWADA
MADMS,DM SYRUP,BM10007,120,9,1,55,39.29,01-01-2023,MARS TERAPEUTICS & CHEMICALS LTD,MARS PHARMA PRIVATE LIMITED HYDERABAD
MASX5,SERAX 5MG TAB,KK20001,180,10,1,52,37.14,01-01-2023,MARS TERAPEUTICS & CHEMICALS LTD,MARS PHARMA PRIVATE LIMITED HYDERABAD
MASF1,SERAX FORTE 10MG TAB,KL20001,137,10,1,83,59.29,01-01-2023,MARS TERAPEUTICS & CHEMICALS LTD,MARS PHARMA PRIVATE LIMITED HYDERABAD
MASDT,SPANDRIL TAB,BM21003,50,10,1,70,50,01-01-2023,MARS TERAPEUTICS & CHEMICALS LTD,MARS PHARMA PRIVATE LIMITED HYDERABAD
MEDKSB,KETO SOAP (BIG),HKS1142,23,11,1,176,119.32,01-01-2023,MED MANOR ORGANICS (GLORIA),MED SUN LIFE SCIENCES         HYDERABAD
CBTT2,TEGRITAL 200MG TAB,210CPAO0,73,0,0,15.2,11.7,01-01-2023,NOVARTIS (PRASAAR),NOVARTIS INDIA LIMITED        HYDERABAD
CBTT4,TEGRITAL 400MG TABS,202CPAN0,84,0,0,36.18,27.85,01-01-2023,NOVARTIS (PRASAAR),NOVARTIS INDIA LIMITED        HYDERABAD
IPCALAR,LARIAGO AMP **,DS120003D,8,0,0,19,14.5,01-01-2023,IPCA,PRUDHVI AGENCIES VIJAYAWADA
GNTML,TELMA-H TABS 30`S,18200122,5,0,0,442,315.71,01-01-2023,GLENMARK (ZOLTAN),SAI DWAR PHARMACEUTICALS HYDERABAD(GLENMARK)
HOLSA,LASIX AMP,2120012,17,0,0,108.9,81.67,01-01-2023,AVENTIS PHARMA,SANOFI INDIA LIMITED          HYDERABAD
HMCTT,CYSTONE TAB,192000200,-1,0,0,125,85.93,01-01-2023,THE HIMALAYA DRUG CO ( ZENITH),THE HIMALAYA DRUG COMPANY     HYDERABAD
UCUF8,UNICARBAZAN FORTE TABS,2FU5G001,100,0,0,30.5,21.79,01-01-2023,TORRENT (UVA),TORRENT PHARMACEUTICALS LTD   HYDERABAD
VERFT,FEPANIL 650 TAB,FCTV20B07,168,10,2,30.23,21.59,01-01-2023,VERITAZ HEALTHCARE LIMITED,VERITAZ HEALTHCARE LIMITED    HYDERABAD
WLCMD,COLIMEX DROPS,CRR006A,16,19,1,40.8,29.14,01-01-2023,WALLACE PHARMA,WALLACE PHARMACEUTICALS PVT.LTHYDERABAD
CYAT5,ATEN 50MG TAB,I000557,120,0,0,27.39,19.56,01-01-2023,ZYDUS CADILA,ZYDUS HEALTHCARE LIMITED      HYDERABAD
GMJNA,JONAC AMP,CJW1022,55,5,1,47.7,34.1,01-01-2023,GERMAN REMADIES LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD
GMJNA,JONAC AMP,CJW1023,-55,5,1,47.7,34.1,01-01-2023,GERMAN REMADIES LTD,ZYDUS HEALTHCARE LIMITED      HYDERABAD
GRCC1,CANDID CREAM,11190327,32,0,0,91.73,65.52,01-01-2023,GLENMARK PHARMA,
CSB4R,BUDECORT 400MG R CAP,BA00215,25,0,0,164.37,117.41,31-12-2022,CIPLA(RESP MISC),CIPLA LIMITED  HYDERABAD
CIPD10,DYTOR 40MG TABS,SN00093,10,0,0,179.68,128.34,31-12-2022,CIPLA(VITALIS 3),CIPLA LIMITED  HYDERABAD
CSF2I,FORACORT 200 CFC INH,SN00229,10,0,0,352.12,251.51,31-12-2022,CIPLA(RESP 2),CIPLA LIMITED  HYDERABAD
GECZT,CETZINE TAB,EMV2000094,200,0,0,18.03,12.88,31-12-2022,DR.REDDY`S LAB`S(PRIDE),DR REDDY`S LABORATORIES LTD   HYDERABAD
N8,DILIGAN 25MG TABS,EMV1901778,26,0,0,158.4,113.14,31-12-2022,DR REDDYYS (GRANDERA),DR REDDY`S LABORATORIES LTD   HYDERABAD
